method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,avg_set_size,benchmark
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language
ss_cbt,0.9256383712905452,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,0.6,atp_surface
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0,atp_surface
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0,atp_surface
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0,atp_surface
ss_cbt,0.6456984123944309,0.9701492537313432,0.6333333333333333,1.0,0.7333333333333333,2.0,atp_surface
fixed_target_ci_certified_bt,0.8868544203950274,0.5349397590361445,0.8,0.4,0.5333333333333333,1.0,wta_surface
fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0,wta_surface
marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0,wta_surface
source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0,wta_surface
ss_cbt,0.7619598001898341,0.9783132530120484,0.8666666666666666,1.0,0.92,2.4,wta_surface
